doc_ID,date,sentence_id,context,detect_evidence_response,type_of_evidence_response,source_of_evidence_response,evidence_frame_response,associated_emotion_response,detect_source_response,journalist_question_response,country_source,country_source_response
202109281q,2021-09-28,11,"À vous la parole, messieurs. Dubé : Bonjour, tout le monde. Alors, peut-être commencer par quelques mots sur la situation épidémiologique, parce qu'on l'a vu dans les derniers jours, on s'en est tous rendu compte, puis on pense que c'est quand même une bonne nouvelle, on a atteint un certain plateau. Vous allez voir encore avec les résultats, là, on le voit. Et nos experts en santé… Donc, ce matin, il y a eu une publication de nos gens de l'INSPQ qui montre aussi une stabilisation du côté des hospitalisations.",oui," The scientific evidence mentioned in this excerpt of the press conference comes from the field of natural sciences, specifically from epidemiology and health. This is indicated by the reference to the ""situation épidémiologique,"" the ""plateau"" reached in recent days, and the ""stabilization"" of hospitalizations, all of which are related to the spread and impact of COVID-19. The INSPQ (Institut national de santé publique du Québec) is a public health organization that focuses on research and surveillance of diseases, including COVID-19. Therefore, the information provided in this excerpt falls under the category of ""Sciences naturelles""."," La source mentionnée dans cet extrait de conférence de presse est l'Institut national de santé publique du Québec (INSPQ). Il s'agit d'une institution reconnue pour ses expertises en matière de santé publique au Québec, Canada. Les données et informations publiées par l'INSPQ sont considérées comme étant fiables et basées sur des preuves scientifiques solides.",," Neutre. L'extrait ne véhicule aucune émotion particulière et se limite à présenter des faits relatifs à la situation épidémiologique, sans exprimer d'opinion ou de réaction émotionnelle à ces faits.",oui,non,," Oui, la source provient d’un pays étranger. L’Institut national de santé publique du Québec (INSPQ) est une organisation canadienne, mais le Québec est une province et non un pays. Par conséquent, l’INSPQ est considéré comme une source étrangère en contexte international."
202109281q,2021-09-28,12,"Dubé : Bonjour, tout le monde. Alors, peut-être commencer par quelques mots sur la situation épidémiologique, parce qu'on l'a vu dans les derniers jours, on s'en est tous rendu compte, puis on pense que c'est quand même une bonne nouvelle, on a atteint un certain plateau. Vous allez voir encore avec les résultats, là, on le voit. Et nos experts en santé… Donc, ce matin, il y a eu une publication de nos gens de l'INSPQ qui montre aussi une stabilisation du côté des hospitalisations. Encore une fois, je pense que c'est une bonne nouvelle.",non," The scientific evidence mentioned in this excerpt of the press conference comes from the field of natural sciences, specifically in the area of public health and epidemiology. This is evident through the reference to the “situation épidémiologique” (epidemiological situation), “hospitalisations,” and the mention of the INSPQ (Institut national de santé publique du Québec) which focuses on research, surveillance, and prevention in the healthcare field."," La source mentionnée dans cet extrait est l'Institut national de santé publique du Québec (INSPQ). Il s'agit d'une organisation reconnue pour ses expertises en matière de santé publique au Québec, Canada. Dans ce contexte, la source est clairement renseignée lorsque le porte-parole, Dubé, mentionne ""ce matin, il y a eu une publication de nos gens de l'INSPQ"".",," Neutre. L'orateur présente les faits relatifs à la situation épidémiologique sans exprimer d'émotions positives ou négatives. Il mentionne même des éléments encourageants tels qu'un plateau atteint et une stabilisation des hospitalisations, mais sans non plus employer de langage exagérément enthousiaste.",oui,non,," NA

The text does not provide sufficient information to determine the origin of the source scientific publication mentioned. The INSPQ (Institut national de santé publique du Québec) is a Canadian organization, but it is not clear if the data or research presented in the publication comes from a foreign country. Therefore, it is more appropriate to indicate 'NA' in this case."
202109281q,2021-09-28,13,"Alors, peut-être commencer par quelques mots sur la situation épidémiologique, parce qu'on l'a vu dans les derniers jours, on s'en est tous rendu compte, puis on pense que c'est quand même une bonne nouvelle, on a atteint un certain plateau. Vous allez voir encore avec les résultats, là, on le voit. Et nos experts en santé… Donc, ce matin, il y a eu une publication de nos gens de l'INSPQ qui montre aussi une stabilisation du côté des hospitalisations. Encore une fois, je pense que c'est une bonne nouvelle. Par contre, le nombre de cas, on le voit dans certaines régions, par exemple Chaudière-Appalaches, Capitale-Nationale, il y a quand même des cas qui continuent d'augmenter.",non," The scientific evidence mentioned in this COVID-19 press conference comes from the field of natural sciences, specifically epidemiology and public health, as it discusses the epidemiological situation, hospitalizations, and number of cases related to the pandemic."," La source mentionnée dans cet extrait de conférence de presse est l'INSPQ (Institut national de santé publique du Québec). Il est indiqué qu'il y a eu une publication de leurs ""gens"" ce matin, et que cette publication montre une stabilisation du côté des hospitalisations.",," Neutre. L'extrait ne véhicule pas d'émotions négatives ou positives directement associées à la mention de preuves ou sources scientifiques (les experts en santé et l'INSPQ). Les émotions positives exprimées (""c'est quand même une bonne nouvelle"", ""je pense que c'est une bonne nouvelle"") sont liées aux constatations épidémiologiques elles-mêmes (atteinte d'un plateau, stabilisation des hospitalisations), et non pas directement à la preuve ou source scientifique.",oui,non,," NA

The text does not mention a source that is foreign to Canada. The INSPQ (Institut national de santé publique du Québec) is a Canadian institution, based in Quebec, Canada. Therefore, I cannot determine if the source is from a foreign country or not."
202109281q,2021-09-28,14,"Vous allez voir encore avec les résultats, là, on le voit. Et nos experts en santé… Donc, ce matin, il y a eu une publication de nos gens de l'INSPQ qui montre aussi une stabilisation du côté des hospitalisations. Encore une fois, je pense que c'est une bonne nouvelle. Par contre, le nombre de cas, on le voit dans certaines régions, par exemple Chaudière-Appalaches, Capitale-Nationale, il y a quand même des cas qui continuent d'augmenter. Puis le Dr Arruda me faisait remarquer aussi dans les derniers jours, là, les cas qui continuent d'augmenter dans les 0-11 ans particulièrement, parce que ceux qui ne peuvent pas être vaccinés.",non," The scientific evidence mentioned in this COVID-19 press conference extract is related to the field of health and medicine, making it a part of the sciences naturelles (natural sciences). This can be seen through references to hospitalizations, regions with increasing case numbers, and discussions about vaccination concerning specific age groups.", La source mentionnée dans cet extrait de conférence de presse est l'INSPQ (Institut national de santé publique du Québec). Il est spécifiquement fait référence à une publication de l'INSPQ concernant la stabilisation des hospitalisations dues à la COVID-19.,, Neutre. The text does not mention any emotional response to the scientific evidence presented. It simply states facts and mentions the opinions of experts.,oui,non,," NA

The text does not provide sufficient information to determine the country of origin of the source. The INSPQ (Institut national de santé publique du Québec) is a Canadian organization, so any publications from them would be from Canada. However, no publication is explicitly mentioned in this extract, only that ""there was a publication from our INSPQ experts."" Therefore, it's not possible to definitively say whether the source is foreign or not based on the provided information."
202109281q,2021-09-28,15,"Et nos experts en santé… Donc, ce matin, il y a eu une publication de nos gens de l'INSPQ qui montre aussi une stabilisation du côté des hospitalisations. Encore une fois, je pense que c'est une bonne nouvelle. Par contre, le nombre de cas, on le voit dans certaines régions, par exemple Chaudière-Appalaches, Capitale-Nationale, il y a quand même des cas qui continuent d'augmenter. Puis le Dr Arruda me faisait remarquer aussi dans les derniers jours, là, les cas qui continuent d'augmenter dans les 0-11 ans particulièrement, parce que ceux qui ne peuvent pas être vaccinés. les cas dans les écoles.",non," The scientific evidence mentioned in this COVID-19 press conference extract comes from the field of health and medicine, which falls under the sciences naturales category. This is demonstrated by the reference to ""nos experts en santé"" (our health experts), ""l'INSPQ"" (Institut national de santé publique du Québec, a public health institute), ""les hospitalisations"" (hospitalizations), and ""le Dr Arruda"" (a medical doctor and the Quebec Director of Public Health). The focus on case numbers, age groups, and school cases also supports this classification."," La source mentionnée dans cet extrait de conférence de presse est l'INSPQ (Institut national de santé publique du Québec). Il est précisé qu'il y a eu une publication de leurs experts concernant la stabilisation des hospitalisations dues à la COVID-19. De plus, le Dr Arruda, qui semble être un expert en santé reconnu, est également mentionné dans ce contexte.",, Neutre. Cette mention de preuve ou source scientifique (la publication de l'INSPQ) est associée à des constatations factuelles concernant la stabilisation des hospitalisations et l'augmentation des cas dans certaines régions et groupes d'âge. Il n'y a pas d'émotions positives ou négatives exprimées explicitement dans cet extrait.,oui,non,," NA

The text does not provide enough information to determine if the source (INSPQ) is from a country outside of Canada. INSPQ most likely stands for Institut national de santé publique du Québec, which is an organization based in Quebec, Canada."
202109281q,2021-09-28,16,"Encore une fois, je pense que c'est une bonne nouvelle. Par contre, le nombre de cas, on le voit dans certaines régions, par exemple Chaudière-Appalaches, Capitale-Nationale, il y a quand même des cas qui continuent d'augmenter. Puis le Dr Arruda me faisait remarquer aussi dans les derniers jours, là, les cas qui continuent d'augmenter dans les 0-11 ans particulièrement, parce que ceux qui ne peuvent pas être vaccinés. les cas dans les écoles. Et je le rappelle que les gens qui rentrent à l'hôpital sont malheureusement des gens qui tombent malades, mais c'est ceux qui ne sont pas adéquatement vaccinés.",non,,,,,non,non,,
202109281q,2021-09-28,17,"Par contre, le nombre de cas, on le voit dans certaines régions, par exemple Chaudière-Appalaches, Capitale-Nationale, il y a quand même des cas qui continuent d'augmenter. Puis le Dr Arruda me faisait remarquer aussi dans les derniers jours, là, les cas qui continuent d'augmenter dans les 0-11 ans particulièrement, parce que ceux qui ne peuvent pas être vaccinés. les cas dans les écoles. Et je le rappelle que les gens qui rentrent à l'hôpital sont malheureusement des gens qui tombent malades, mais c'est ceux qui ne sont pas adéquatement vaccinés. Par contre, je veux qu'on reste prudents, parce que je dis que c'est des bonnes nouvelles puis qu'il y a un plateau, mais on l'a vu, lors de la deuxième vague, puis… qu'on avait eu un plateau à la mi-septembre, et, après ce plateau-là, il y avait eu une augmentation importante des cas et des hospitalisations à ce moment.",non,,,,,non,non,,
202109281q,2021-09-28,18,"Puis le Dr Arruda me faisait remarquer aussi dans les derniers jours, là, les cas qui continuent d'augmenter dans les 0-11 ans particulièrement, parce que ceux qui ne peuvent pas être vaccinés. les cas dans les écoles. Et je le rappelle que les gens qui rentrent à l'hôpital sont malheureusement des gens qui tombent malades, mais c'est ceux qui ne sont pas adéquatement vaccinés. Par contre, je veux qu'on reste prudents, parce que je dis que c'est des bonnes nouvelles puis qu'il y a un plateau, mais on l'a vu, lors de la deuxième vague, puis… qu'on avait eu un plateau à la mi-septembre, et, après ce plateau-là, il y avait eu une augmentation importante des cas et des hospitalisations à ce moment. C'est très difficile de comparer la deuxième vague et la quatrième vague, mais moi, je voudrais juste qu'on reste prudents avec le plateau qu'on a en ce moment parce qu'on a une situation qui est différente.",non,,,,,non,non,,
202109281q,2021-09-28,19,"les cas dans les écoles. Et je le rappelle que les gens qui rentrent à l'hôpital sont malheureusement des gens qui tombent malades, mais c'est ceux qui ne sont pas adéquatement vaccinés. Par contre, je veux qu'on reste prudents, parce que je dis que c'est des bonnes nouvelles puis qu'il y a un plateau, mais on l'a vu, lors de la deuxième vague, puis… qu'on avait eu un plateau à la mi-septembre, et, après ce plateau-là, il y avait eu une augmentation importante des cas et des hospitalisations à ce moment. C'est très difficile de comparer la deuxième vague et la quatrième vague, mais moi, je voudrais juste qu'on reste prudents avec le plateau qu'on a en ce moment parce qu'on a une situation qui est différente. Oui, il y a la vaccination, en ce moment, qu'on n'avait pas dans la deuxième vague, mais il y a le variant qui est aussi beaucoup plus dangereux que ce qu'on avait.",non,,,,,non,non,,
202109281q,2021-09-28,20,"Et je le rappelle que les gens qui rentrent à l'hôpital sont malheureusement des gens qui tombent malades, mais c'est ceux qui ne sont pas adéquatement vaccinés. Par contre, je veux qu'on reste prudents, parce que je dis que c'est des bonnes nouvelles puis qu'il y a un plateau, mais on l'a vu, lors de la deuxième vague, puis… qu'on avait eu un plateau à la mi-septembre, et, après ce plateau-là, il y avait eu une augmentation importante des cas et des hospitalisations à ce moment. C'est très difficile de comparer la deuxième vague et la quatrième vague, mais moi, je voudrais juste qu'on reste prudents avec le plateau qu'on a en ce moment parce qu'on a une situation qui est différente. Oui, il y a la vaccination, en ce moment, qu'on n'avait pas dans la deuxième vague, mais il y a le variant qui est aussi beaucoup plus dangereux que ce qu'on avait. Et c'est d'ailleurs pour ça que je dis qu'il faut qu'on reste prudents parce que, là, on le voit, là, on est rendus à la mi-septembre, les froids vont arriver, les gens vont rentrer à l'intérieur, puis on le sait que les contacts n'ont pas le même impact lorsqu'on est à l'intérieur.",non,,,,,non,non,,
202109281q,2021-09-28,21,"Par contre, je veux qu'on reste prudents, parce que je dis que c'est des bonnes nouvelles puis qu'il y a un plateau, mais on l'a vu, lors de la deuxième vague, puis… qu'on avait eu un plateau à la mi-septembre, et, après ce plateau-là, il y avait eu une augmentation importante des cas et des hospitalisations à ce moment. C'est très difficile de comparer la deuxième vague et la quatrième vague, mais moi, je voudrais juste qu'on reste prudents avec le plateau qu'on a en ce moment parce qu'on a une situation qui est différente. Oui, il y a la vaccination, en ce moment, qu'on n'avait pas dans la deuxième vague, mais il y a le variant qui est aussi beaucoup plus dangereux que ce qu'on avait. Et c'est d'ailleurs pour ça que je dis qu'il faut qu'on reste prudents parce que, là, on le voit, là, on est rendus à la mi-septembre, les froids vont arriver, les gens vont rentrer à l'intérieur, puis on le sait que les contacts n'ont pas le même impact lorsqu'on est à l'intérieur. Donc, je veux qu'on reste prudents.",non,,,,,non,non,,
202109281q,2021-09-28,22,"C'est très difficile de comparer la deuxième vague et la quatrième vague, mais moi, je voudrais juste qu'on reste prudents avec le plateau qu'on a en ce moment parce qu'on a une situation qui est différente. Oui, il y a la vaccination, en ce moment, qu'on n'avait pas dans la deuxième vague, mais il y a le variant qui est aussi beaucoup plus dangereux que ce qu'on avait. Et c'est d'ailleurs pour ça que je dis qu'il faut qu'on reste prudents parce que, là, on le voit, là, on est rendus à la mi-septembre, les froids vont arriver, les gens vont rentrer à l'intérieur, puis on le sait que les contacts n'ont pas le même impact lorsqu'on est à l'intérieur. Donc, je veux qu'on reste prudents. La pression, pour moi, sur les hôpitaux, elle continue d'être là.",non,,,,,non,non,,
202109281q,2021-09-28,23,"Oui, il y a la vaccination, en ce moment, qu'on n'avait pas dans la deuxième vague, mais il y a le variant qui est aussi beaucoup plus dangereux que ce qu'on avait. Et c'est d'ailleurs pour ça que je dis qu'il faut qu'on reste prudents parce que, là, on le voit, là, on est rendus à la mi-septembre, les froids vont arriver, les gens vont rentrer à l'intérieur, puis on le sait que les contacts n'ont pas le même impact lorsqu'on est à l'intérieur. Donc, je veux qu'on reste prudents. La pression, pour moi, sur les hôpitaux, elle continue d'être là. Vous l'avez vu, là, ce matin, on a quand même presque une trentaine de cas supplémentaires qui sont rentrés dans les hôpitaux.",non,,,,,non,non,,
202109281q,2021-09-28,24,"Et c'est d'ailleurs pour ça que je dis qu'il faut qu'on reste prudents parce que, là, on le voit, là, on est rendus à la mi-septembre, les froids vont arriver, les gens vont rentrer à l'intérieur, puis on le sait que les contacts n'ont pas le même impact lorsqu'on est à l'intérieur. Donc, je veux qu'on reste prudents. La pression, pour moi, sur les hôpitaux, elle continue d'être là. Vous l'avez vu, là, ce matin, on a quand même presque une trentaine de cas supplémentaires qui sont rentrés dans les hôpitaux. Puis c'est à peu près une moyenne, là, qu'on voit depuis quelques jours, d'environ 25 cas, en moyenne, d'entrées.",non,,,,,non,non,,
202109281q,2021-09-28,25,"Donc, je veux qu'on reste prudents. La pression, pour moi, sur les hôpitaux, elle continue d'être là. Vous l'avez vu, là, ce matin, on a quand même presque une trentaine de cas supplémentaires qui sont rentrés dans les hôpitaux. Puis c'est à peu près une moyenne, là, qu'on voit depuis quelques jours, d'environ 25 cas, en moyenne, d'entrées. On réussit à avoir des sorties à peu près équivalentes, mais c'est quand même à chaque jour 25 cas qui viennent.",non,,,,,non,non,,
202109281q,2021-09-28,26,"La pression, pour moi, sur les hôpitaux, elle continue d'être là. Vous l'avez vu, là, ce matin, on a quand même presque une trentaine de cas supplémentaires qui sont rentrés dans les hôpitaux. Puis c'est à peu près une moyenne, là, qu'on voit depuis quelques jours, d'environ 25 cas, en moyenne, d'entrées. On réussit à avoir des sorties à peu près équivalentes, mais c'est quand même à chaque jour 25 cas qui viennent. Puis je le répète… tannant avec ça, vous êtes tannés de m'entendre, mais les non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs.",non,,,,,non,non,,
202109281q,2021-09-28,27,"Vous l'avez vu, là, ce matin, on a quand même presque une trentaine de cas supplémentaires qui sont rentrés dans les hôpitaux. Puis c'est à peu près une moyenne, là, qu'on voit depuis quelques jours, d'environ 25 cas, en moyenne, d'entrées. On réussit à avoir des sorties à peu près équivalentes, mais c'est quand même à chaque jour 25 cas qui viennent. Puis je le répète… tannant avec ça, vous êtes tannés de m'entendre, mais les non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs. Donc, s'il vous plaît, s'il vous plaît, allez vous faire vacciner.",non,,,,,non,non,,
202109281q,2021-09-28,28,"Puis c'est à peu près une moyenne, là, qu'on voit depuis quelques jours, d'environ 25 cas, en moyenne, d'entrées. On réussit à avoir des sorties à peu près équivalentes, mais c'est quand même à chaque jour 25 cas qui viennent. Puis je le répète… tannant avec ça, vous êtes tannés de m'entendre, mais les non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs. Donc, s'il vous plaît, s'il vous plaît, allez vous faire vacciner. L'annonce d'aujourd'hui porte sur ce qu'on appelle maintenant la troisième dose.",non,,,,,non,non,,
202109281q,2021-09-28,29,"On réussit à avoir des sorties à peu près équivalentes, mais c'est quand même à chaque jour 25 cas qui viennent. Puis je le répète… tannant avec ça, vous êtes tannés de m'entendre, mais les non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs. Donc, s'il vous plaît, s'il vous plaît, allez vous faire vacciner. L'annonce d'aujourd'hui porte sur ce qu'on appelle maintenant la troisième dose. L'annonce d'aujourd'hui…",oui," The scientific evidence mentioned in this excerpt of the press conference comes from the field of medical sciences, more specifically epidemiology or public health. This is because the statement about non-vaccinated individuals having a higher chance of hospitalization and intensive care due to COVID-19 is based on medical and epidemiological data and research. Therefore, the answer is 'Sciences naturelles'."," NA. There is no specific source mentioned in this excerpt. The speaker is appealing to their audience to get vaccinated and mentions the increased risk for unvaccinated individuals, but they do not cite any organization, institution, or expert as the source of this information.",," Negatif

Dans cet extrait, l'orateur tente de convaincre les gens de se faire vacciner en mentionnant que les non-vaccinés ont 30 fois plus de chances de se retrouver à l'hôpital et aux soins intensifs. Cette information est présentée comme étant négative, ce qui peut susciter des émotions telles que la peur ou l'inquiétude chez les auditeurs. Il n'y a pas d'émotions positives véhiculées dans cet extrait, seulement une mise en garde contre les risques associés à ne pas se faire vacciner.",non,non,," NA

The provided extract does not mention a specific source from a foreign country. Therefore, it is not possible to determine if the source is from a country outside of Canada based solely on this information."
202109281q,2021-09-28,30,"Puis je le répète… tannant avec ça, vous êtes tannés de m'entendre, mais les non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs. Donc, s'il vous plaît, s'il vous plaît, allez vous faire vacciner. L'annonce d'aujourd'hui porte sur ce qu'on appelle maintenant la troisième dose. L'annonce d'aujourd'hui… Si on regarde les dernières semaines, on voit qu'on recommence à avoir des éclosions dans ce qu'on appelle nos milieux de vie, là, puis je sais que vous connaissez bien la terminologie, là, nos CHSLD, nos résidences pour personnes âgées, nos RPA, ce qu'on appelle nos ressources intermédiaires et de type familial, les RIRTF.",oui," The scientific evidence mentioned in this conference press release comes from the sciences naturales (like biology, medicine).

The statement ""non-vaccinés ont 30 fois plus de chances de rentrer à l'hôpital et, ultimement, d'aller aux soins intensifs"" is based on medical research and studies. It is a factual claim about the increased risk of hospitalization and critical care for unvaccinated individuals during the COVID-19 pandemic. Therefore, it falls under the category of sciences naturales as it relates to medical and health sciences."," NA

Il n'y a pas de source spécifique mentionnée dans l'extrait de conférence de presse que vous avez fourni. Le locuteur énonce des faits sur l'importance de la vaccination et les récentes éclosions dans certains types d'établissements pour personnes âgées, mais ne cite pas de preuve ou de source scientifique à l'appui.",," Negative

Explanation: The statement that non-vaccinated individuals have 30 times more chances of being hospitalized and going to intensive care is likely to evoke fear or worry among the readers or listeners, as it highlights the risks associated with not getting vaccinated. Therefore, the emotional tone of this extract can be considered negative.",non,non,," NA

The text does not provide any information about the origin of the scientific source mentioned."
202109281q,2021-09-28,31,"Donc, s'il vous plaît, s'il vous plaît, allez vous faire vacciner. L'annonce d'aujourd'hui porte sur ce qu'on appelle maintenant la troisième dose. L'annonce d'aujourd'hui… Si on regarde les dernières semaines, on voit qu'on recommence à avoir des éclosions dans ce qu'on appelle nos milieux de vie, là, puis je sais que vous connaissez bien la terminologie, là, nos CHSLD, nos résidences pour personnes âgées, nos RPA, ce qu'on appelle nos ressources intermédiaires et de type familial, les RIRTF. C'est un jargon que tout le monde connaît maintenant, mais je le répète de temps en temps.",non,,,,,non,non,,
202109281q,2021-09-28,32,"L'annonce d'aujourd'hui porte sur ce qu'on appelle maintenant la troisième dose. L'annonce d'aujourd'hui… Si on regarde les dernières semaines, on voit qu'on recommence à avoir des éclosions dans ce qu'on appelle nos milieux de vie, là, puis je sais que vous connaissez bien la terminologie, là, nos CHSLD, nos résidences pour personnes âgées, nos RPA, ce qu'on appelle nos ressources intermédiaires et de type familial, les RIRTF. C'est un jargon que tout le monde connaît maintenant, mais je le répète de temps en temps. Puis je dis, malgré un excellent taux de vaccination…",non,,,,,non,non,,
202109281q,2021-09-28,33,"L'annonce d'aujourd'hui… Si on regarde les dernières semaines, on voit qu'on recommence à avoir des éclosions dans ce qu'on appelle nos milieux de vie, là, puis je sais que vous connaissez bien la terminologie, là, nos CHSLD, nos résidences pour personnes âgées, nos RPA, ce qu'on appelle nos ressources intermédiaires et de type familial, les RIRTF. C'est un jargon que tout le monde connaît maintenant, mais je le répète de temps en temps. Puis je dis, malgré un excellent taux de vaccination… Puis je ne remercierai jamais assez les Québécois d'avoir le taux de vaccination qu'on a aujourd'hui.",non,,,,,non,non,,
202109281q,2021-09-28,34,"Si on regarde les dernières semaines, on voit qu'on recommence à avoir des éclosions dans ce qu'on appelle nos milieux de vie, là, puis je sais que vous connaissez bien la terminologie, là, nos CHSLD, nos résidences pour personnes âgées, nos RPA, ce qu'on appelle nos ressources intermédiaires et de type familial, les RIRTF. C'est un jargon que tout le monde connaît maintenant, mais je le répète de temps en temps. Puis je dis, malgré un excellent taux de vaccination… Puis je ne remercierai jamais assez les Québécois d'avoir le taux de vaccination qu'on a aujourd'hui. Mais, malgré ce bon taux de vaccination là, là, dans le dernier mois, on est passés d'à peu près une dizaine de cas actifs, donc au début de septembre, puis on a maintenant 140 cas actifs dans nos CHSLD, dans nos RPA et dans nos RITF.",non,,,,,non,non,,
202109281q,2021-09-28,35,"C'est un jargon que tout le monde connaît maintenant, mais je le répète de temps en temps. Puis je dis, malgré un excellent taux de vaccination… Puis je ne remercierai jamais assez les Québécois d'avoir le taux de vaccination qu'on a aujourd'hui. Mais, malgré ce bon taux de vaccination là, là, dans le dernier mois, on est passés d'à peu près une dizaine de cas actifs, donc au début de septembre, puis on a maintenant 140 cas actifs dans nos CHSLD, dans nos RPA et dans nos RITF. Je dirais que ce n'est rien de dramatique, mais, si on veut rester en avant de la parade, si on veut être certains qu'on n'échappe pas la situation dans nos résidences de milieux de vie, il faut poser un geste.",non,,,,,non,non,,
