doc_ID,date,sentence_id,context,detect_evidence_response,type_of_evidence_response,source_of_evidence_response,evidence_frame_response,associated_emotion_response,detect_source_response,journalist_question_response,country_source_response
202004211q,2020-04-21,10,"Le Modérateur : Alors, bonjour à tous. Bienvenue à cette conférence de presse pour faire le point sur la situation au Québec quant à la COVID-19. Le premier ministre du Québec, M. François Legault, est accompagné, comme toujours, de la ministre de la Santé et des Services sociaux, Mme Danielle McCann, et du directeur national de santé publique, Dr Horacio Arruda. le premier ministre, à vous la parole. Legault : Bonjour, tout le monde.",non,,,,,non,non,
202004211q,2020-04-21,11,"Bienvenue à cette conférence de presse pour faire le point sur la situation au Québec quant à la COVID-19. Le premier ministre du Québec, M. François Legault, est accompagné, comme toujours, de la ministre de la Santé et des Services sociaux, Mme Danielle McCann, et du directeur national de santé publique, Dr Horacio Arruda. le premier ministre, à vous la parole. Legault : Bonjour, tout le monde. Je commence avec le bilan de la journée.",non,,,,,non,non,
202004211q,2020-04-21,12,"Le premier ministre du Québec, M. François Legault, est accompagné, comme toujours, de la ministre de la Santé et des Services sociaux, Mme Danielle McCann, et du directeur national de santé publique, Dr Horacio Arruda. le premier ministre, à vous la parole. Legault : Bonjour, tout le monde. Je commence avec le bilan de la journée. Malheureusement, on a 102 nouveaux décès, donc un total de 1 041.",non,,,,,non,non,
202004211q,2020-04-21,13,"le premier ministre, à vous la parole. Legault : Bonjour, tout le monde. Je commence avec le bilan de la journée. Malheureusement, on a 102 nouveaux décès, donc un total de 1 041. Je veux offrir, bien sûr, mes condoléances à toutes les familles, les proches de ces victimes.",non,,,,,non,non,
202004211q,2020-04-21,14,"Legault : Bonjour, tout le monde. Je commence avec le bilan de la journée. Malheureusement, on a 102 nouveaux décès, donc un total de 1 041. Je veux offrir, bien sûr, mes condoléances à toutes les familles, les proches de ces victimes. On a maintenant 20 126 cas confirmés, une augmentation de 807.",non,,,,,non,non,
202004211q,2020-04-21,15,"Je commence avec le bilan de la journée. Malheureusement, on a 102 nouveaux décès, donc un total de 1 041. Je veux offrir, bien sûr, mes condoléances à toutes les familles, les proches de ces victimes. On a maintenant 20 126 cas confirmés, une augmentation de 807. On a 1 224 personnes hospitalisées, c'est une augmentation de 55, et on a 201 personnes aux soins intensifs, c'est une augmentation de trois.",non,,,,,non,non,
202004211q,2020-04-21,16,"Malheureusement, on a 102 nouveaux décès, donc un total de 1 041. Je veux offrir, bien sûr, mes condoléances à toutes les familles, les proches de ces victimes. On a maintenant 20 126 cas confirmés, une augmentation de 807. On a 1 224 personnes hospitalisées, c'est une augmentation de 55, et on a 201 personnes aux soins intensifs, c'est une augmentation de trois. Évidemment, le grand défi, ça reste dans nos résidences pour aînés.",non,,,,,non,non,
202004211q,2020-04-21,17,"Je veux offrir, bien sûr, mes condoléances à toutes les familles, les proches de ces victimes. On a maintenant 20 126 cas confirmés, une augmentation de 807. On a 1 224 personnes hospitalisées, c'est une augmentation de 55, et on a 201 personnes aux soins intensifs, c'est une augmentation de trois. Évidemment, le grand défi, ça reste dans nos résidences pour aînés. C'est important de le mentionner, là, sur les 1 041 décès qu'on a jusqu'à présent, il y en a 850, c'était des personnes qui étaient dans les résidences pour aînés.",non,,,,,non,non,
202004211q,2020-04-21,18,"On a maintenant 20 126 cas confirmés, une augmentation de 807. On a 1 224 personnes hospitalisées, c'est une augmentation de 55, et on a 201 personnes aux soins intensifs, c'est une augmentation de trois. Évidemment, le grand défi, ça reste dans nos résidences pour aînés. C'est important de le mentionner, là, sur les 1 041 décès qu'on a jusqu'à présent, il y en a 850, c'était des personnes qui étaient dans les résidences pour aînés. Bon, il y en a qui beaucoup qui sont décédées après leur transfert à l'hôpital,",non,,,,,non,non,
202004211q,2020-04-21,19,"On a 1 224 personnes hospitalisées, c'est une augmentation de 55, et on a 201 personnes aux soins intensifs, c'est une augmentation de trois. Évidemment, le grand défi, ça reste dans nos résidences pour aînés. C'est important de le mentionner, là, sur les 1 041 décès qu'on a jusqu'à présent, il y en a 850, c'était des personnes qui étaient dans les résidences pour aînés. Bon, il y en a qui beaucoup qui sont décédées après leur transfert à l'hôpital, mais leur provenance, là : 850 sur 1 041 qui venaient des résidences.",non,,,,,non,non,
202004211q,2020-04-21,20,"Évidemment, le grand défi, ça reste dans nos résidences pour aînés. C'est important de le mentionner, là, sur les 1 041 décès qu'on a jusqu'à présent, il y en a 850, c'était des personnes qui étaient dans les résidences pour aînés. Bon, il y en a qui beaucoup qui sont décédées après leur transfert à l'hôpital, mais leur provenance, là : 850 sur 1 041 qui venaient des résidences. Donc, c'est vraiment là qui est le défi, les 2 600 résidences.",non,,,,,non,non,
202004211q,2020-04-21,21,"C'est important de le mentionner, là, sur les 1 041 décès qu'on a jusqu'à présent, il y en a 850, c'était des personnes qui étaient dans les résidences pour aînés. Bon, il y en a qui beaucoup qui sont décédées après leur transfert à l'hôpital, mais leur provenance, là : 850 sur 1 041 qui venaient des résidences. Donc, c'est vraiment là qui est le défi, les 2 600 résidences. C'est important, par contre, d'expliquer la répartition puis la situation dans les 2 600 résidences.",non,,,,,non,non,
202004211q,2020-04-21,22,"Bon, il y en a qui beaucoup qui sont décédées après leur transfert à l'hôpital, mais leur provenance, là : 850 sur 1 041 qui venaient des résidences. Donc, c'est vraiment là qui est le défi, les 2 600 résidences. C'est important, par contre, d'expliquer la répartition puis la situation dans les 2 600 résidences. D'abord, sur les 2 600 résidences, là-dedans, il y a des CHSLD, publics, privés, des RPA, des ressources intermédiaires, il y en a 2 300 sur les 2 600 où il n'y a aucun cas de COVID-19.",non,,,,,non,non,
202004211q,2020-04-21,23,"mais leur provenance, là : 850 sur 1 041 qui venaient des résidences. Donc, c'est vraiment là qui est le défi, les 2 600 résidences. C'est important, par contre, d'expliquer la répartition puis la situation dans les 2 600 résidences. D'abord, sur les 2 600 résidences, là-dedans, il y a des CHSLD, publics, privés, des RPA, des ressources intermédiaires, il y en a 2 300 sur les 2 600 où il n'y a aucun cas de COVID-19. Donc, ça veut dire, quand même, 2 300 sur 2 600, il n'y a aucun cas.",non,,,,,non,non,
202004211q,2020-04-21,24,"Donc, c'est vraiment là qui est le défi, les 2 600 résidences. C'est important, par contre, d'expliquer la répartition puis la situation dans les 2 600 résidences. D'abord, sur les 2 600 résidences, là-dedans, il y a des CHSLD, publics, privés, des RPA, des ressources intermédiaires, il y en a 2 300 sur les 2 600 où il n'y a aucun cas de COVID-19. Donc, ça veut dire, quand même, 2 300 sur 2 600, il n'y a aucun cas. Dans les 300 où il y a un cas ou plus de COVID, c'est important de le dire",non,,,,,non,non,
202004211q,2020-04-21,25,"C'est important, par contre, d'expliquer la répartition puis la situation dans les 2 600 résidences. D'abord, sur les 2 600 résidences, là-dedans, il y a des CHSLD, publics, privés, des RPA, des ressources intermédiaires, il y en a 2 300 sur les 2 600 où il n'y a aucun cas de COVID-19. Donc, ça veut dire, quand même, 2 300 sur 2 600, il n'y a aucun cas. Dans les 300 où il y a un cas ou plus de COVID, c'est important de le dire , il y en a 220 résidences, sur les 300 qui restent, là, où la situation, on calcule qu'elle est sous contrôle.",non,,,,,non,non,
202004211q,2020-04-21,26,"D'abord, sur les 2 600 résidences, là-dedans, il y a des CHSLD, publics, privés, des RPA, des ressources intermédiaires, il y en a 2 300 sur les 2 600 où il n'y a aucun cas de COVID-19. Donc, ça veut dire, quand même, 2 300 sur 2 600, il n'y a aucun cas. Dans les 300 où il y a un cas ou plus de COVID, c'est important de le dire , il y en a 220 résidences, sur les 300 qui restent, là, où la situation, on calcule qu'elle est sous contrôle. Donc, ça veut dire qu'il y a 80 résidences sur 2 600, au total, où la situation est plus difficile, où on a une surveillance, là, plus attentive qu'on doit faire.",non,,,,,non,non,
202004211q,2020-04-21,27,"Donc, ça veut dire, quand même, 2 300 sur 2 600, il n'y a aucun cas. Dans les 300 où il y a un cas ou plus de COVID, c'est important de le dire , il y en a 220 résidences, sur les 300 qui restent, là, où la situation, on calcule qu'elle est sous contrôle. Donc, ça veut dire qu'il y a 80 résidences sur 2 600, au total, où la situation est plus difficile, où on a une surveillance, là, plus attentive qu'on doit faire. Bonne nouvelle.",non,,,,,non,non,
202004211q,2020-04-21,28,"Dans les 300 où il y a un cas ou plus de COVID, c'est important de le dire , il y en a 220 résidences, sur les 300 qui restent, là, où la situation, on calcule qu'elle est sous contrôle. Donc, ça veut dire qu'il y a 80 résidences sur 2 600, au total, où la situation est plus difficile, où on a une surveillance, là, plus attentive qu'on doit faire. Bonne nouvelle. Sur les 2 000 employés qu'on manquait, je disais hier puis depuis quelques jours qu'il manquait 2 000 employés, hier, on a eu des médecins spécialistes et généralistes, des infirmières, des préposés, des étudiants qui ont confirmé leur travail, en grande partie à temps plein.",non,,,,,non,non,
202004211q,2020-04-21,29,", il y en a 220 résidences, sur les 300 qui restent, là, où la situation, on calcule qu'elle est sous contrôle. Donc, ça veut dire qu'il y a 80 résidences sur 2 600, au total, où la situation est plus difficile, où on a une surveillance, là, plus attentive qu'on doit faire. Bonne nouvelle. Sur les 2 000 employés qu'on manquait, je disais hier puis depuis quelques jours qu'il manquait 2 000 employés, hier, on a eu des médecins spécialistes et généralistes, des infirmières, des préposés, des étudiants qui ont confirmé leur travail, en grande partie à temps plein. On a réussi, juste hier, à combler 1 000 des 2 000 postes.",non,,,,,non,non,
202004211q,2020-04-21,30,"Donc, ça veut dire qu'il y a 80 résidences sur 2 600, au total, où la situation est plus difficile, où on a une surveillance, là, plus attentive qu'on doit faire. Bonne nouvelle. Sur les 2 000 employés qu'on manquait, je disais hier puis depuis quelques jours qu'il manquait 2 000 employés, hier, on a eu des médecins spécialistes et généralistes, des infirmières, des préposés, des étudiants qui ont confirmé leur travail, en grande partie à temps plein. On a réussi, juste hier, à combler 1 000 des 2 000 postes. Puis on a confiance que, d'ici demain, avec tous ceux qui nous ont fait signe, on devrait être capables de combler les 1 000 postes qui restent à combler dans les 2 600 résidences.",non,,,,,non,non,
202004211q,2020-04-21,31,"Bonne nouvelle. Sur les 2 000 employés qu'on manquait, je disais hier puis depuis quelques jours qu'il manquait 2 000 employés, hier, on a eu des médecins spécialistes et généralistes, des infirmières, des préposés, des étudiants qui ont confirmé leur travail, en grande partie à temps plein. On a réussi, juste hier, à combler 1 000 des 2 000 postes. Puis on a confiance que, d'ici demain, avec tous ceux qui nous ont fait signe, on devrait être capables de combler les 1 000 postes qui restent à combler dans les 2 600 résidences. Ça veut dire que la situation, si tout va bien, d'ici demain soir, là, devrait être sous contrôle pour ce qui est du personnel.",non,,,,,non,non,
202004211q,2020-04-21,32,"Sur les 2 000 employés qu'on manquait, je disais hier puis depuis quelques jours qu'il manquait 2 000 employés, hier, on a eu des médecins spécialistes et généralistes, des infirmières, des préposés, des étudiants qui ont confirmé leur travail, en grande partie à temps plein. On a réussi, juste hier, à combler 1 000 des 2 000 postes. Puis on a confiance que, d'ici demain, avec tous ceux qui nous ont fait signe, on devrait être capables de combler les 1 000 postes qui restent à combler dans les 2 600 résidences. Ça veut dire que la situation, si tout va bien, d'ici demain soir, là, devrait être sous contrôle pour ce qui est du personnel. Évidemment, je veux dire un énorme merci à tous les médecins, à toutes les infirmières, les préposés, les étudiants en santé qui ont accepté de venir travailler à temps plein.",non,,,,,non,non,
202004211q,2020-04-21,33,"On a réussi, juste hier, à combler 1 000 des 2 000 postes. Puis on a confiance que, d'ici demain, avec tous ceux qui nous ont fait signe, on devrait être capables de combler les 1 000 postes qui restent à combler dans les 2 600 résidences. Ça veut dire que la situation, si tout va bien, d'ici demain soir, là, devrait être sous contrôle pour ce qui est du personnel. Évidemment, je veux dire un énorme merci à tous les médecins, à toutes les infirmières, les préposés, les étudiants en santé qui ont accepté de venir travailler à temps plein. C'est un effort collectif, là, qui est courageux.",non,,,,,non,non,
202004211q,2020-04-21,34,"Puis on a confiance que, d'ici demain, avec tous ceux qui nous ont fait signe, on devrait être capables de combler les 1 000 postes qui restent à combler dans les 2 600 résidences. Ça veut dire que la situation, si tout va bien, d'ici demain soir, là, devrait être sous contrôle pour ce qui est du personnel. Évidemment, je veux dire un énorme merci à tous les médecins, à toutes les infirmières, les préposés, les étudiants en santé qui ont accepté de venir travailler à temps plein. C'est un effort collectif, là, qui est courageux. Ce n'est pas toujours facile, comme je le disais tantôt, surtout dans les 80 résidences où c'est plus difficile.",non,,,,,non,non,
202004211q,2020-04-21,35,"Ça veut dire que la situation, si tout va bien, d'ici demain soir, là, devrait être sous contrôle pour ce qui est du personnel. Évidemment, je veux dire un énorme merci à tous les médecins, à toutes les infirmières, les préposés, les étudiants en santé qui ont accepté de venir travailler à temps plein. C'est un effort collectif, là, qui est courageux. Ce n'est pas toujours facile, comme je le disais tantôt, surtout dans les 80 résidences où c'est plus difficile. Mais les gens, donc, acceptent de venir travailler.",non,,,,,non,non,
202004211q,2020-04-21,36,"Évidemment, je veux dire un énorme merci à tous les médecins, à toutes les infirmières, les préposés, les étudiants en santé qui ont accepté de venir travailler à temps plein. C'est un effort collectif, là, qui est courageux. Ce n'est pas toujours facile, comme je le disais tantôt, surtout dans les 80 résidences où c'est plus difficile. Mais les gens, donc, acceptent de venir travailler. Moi, je peux juste être admiratif devant cette situation-là.",non,,,,,non,non,
202004211q,2020-04-21,37,"C'est un effort collectif, là, qui est courageux. Ce n'est pas toujours facile, comme je le disais tantôt, surtout dans les 80 résidences où c'est plus difficile. Mais les gens, donc, acceptent de venir travailler. Moi, je peux juste être admiratif devant cette situation-là. Un point que je veux toucher, j'ai lu puis entendu beaucoup de commentaires sur le fait qu'on transfère du personnel, que ça soit des médecins ou des infirmières, des hôpitaux vers les résidences pour aînés.",non,,,,,non,non,
202004211q,2020-04-21,38,"Ce n'est pas toujours facile, comme je le disais tantôt, surtout dans les 80 résidences où c'est plus difficile. Mais les gens, donc, acceptent de venir travailler. Moi, je peux juste être admiratif devant cette situation-là. Un point que je veux toucher, j'ai lu puis entendu beaucoup de commentaires sur le fait qu'on transfère du personnel, que ça soit des médecins ou des infirmières, des hôpitaux vers les résidences pour aînés. Bon, d'abord, ce qui est important de se dire, c'est que l'urgence est vraiment dans les résidences.",non,,,,,non,non,
202004211q,2020-04-21,39,"Mais les gens, donc, acceptent de venir travailler. Moi, je peux juste être admiratif devant cette situation-là. Un point que je veux toucher, j'ai lu puis entendu beaucoup de commentaires sur le fait qu'on transfère du personnel, que ça soit des médecins ou des infirmières, des hôpitaux vers les résidences pour aînés. Bon, d'abord, ce qui est important de se dire, c'est que l'urgence est vraiment dans les résidences. Quand je vous dis que, sur 1 041 décès, il y en a 850 que c'est des gens qui viennent des résidences, ça veut dire qu'il y a beaucoup de travail qui doit être fait là.",oui,sciences naturelles,"na. aucune source specifique n'a ete mentionnee dans cet extrait de conference de presse concernant la pandemie de covid-19. le locuteur se refere a des statistiques sur les deces en residences pour aines, mais ne cite pas de preuve ou de source scientifique a l'appui.",suppression,neutre,non,non,NA
202004211q,2020-04-21,40,"Moi, je peux juste être admiratif devant cette situation-là. Un point que je veux toucher, j'ai lu puis entendu beaucoup de commentaires sur le fait qu'on transfère du personnel, que ça soit des médecins ou des infirmières, des hôpitaux vers les résidences pour aînés. Bon, d'abord, ce qui est important de se dire, c'est que l'urgence est vraiment dans les résidences. Quand je vous dis que, sur 1 041 décès, il y en a 850 que c'est des gens qui viennent des résidences, ça veut dire qu'il y a beaucoup de travail qui doit être fait là. Mais ce qui est important de préciser, c'est qu'on n'a pas retardé d'activités urgentes dans les hôpitaux.",non,,,,,non,non,
202004211q,2020-04-21,41,"Un point que je veux toucher, j'ai lu puis entendu beaucoup de commentaires sur le fait qu'on transfère du personnel, que ça soit des médecins ou des infirmières, des hôpitaux vers les résidences pour aînés. Bon, d'abord, ce qui est important de se dire, c'est que l'urgence est vraiment dans les résidences. Quand je vous dis que, sur 1 041 décès, il y en a 850 que c'est des gens qui viennent des résidences, ça veut dire qu'il y a beaucoup de travail qui doit être fait là. Mais ce qui est important de préciser, c'est qu'on n'a pas retardé d'activités urgentes dans les hôpitaux. Donc, depuis un mois, la décision qu'on a prise pour se préparer à la COVID-19, c'est de libérer à peu près 6 000 lits sur les 18 000.",oui,sciences naturelles,"na. il n'y a pas de source specifique mentionnee dans cet extrait de conference de presse concernant la pandemie de covid-19. le locuteur parle de decisions et de situations en general, sans attribuer ces informations a une organisation, une institution ou un expert particulier.",suppression,négatif,non,non,NA
202004211q,2020-04-21,42,"Bon, d'abord, ce qui est important de se dire, c'est que l'urgence est vraiment dans les résidences. Quand je vous dis que, sur 1 041 décès, il y en a 850 que c'est des gens qui viennent des résidences, ça veut dire qu'il y a beaucoup de travail qui doit être fait là. Mais ce qui est important de préciser, c'est qu'on n'a pas retardé d'activités urgentes dans les hôpitaux. Donc, depuis un mois, la décision qu'on a prise pour se préparer à la COVID-19, c'est de libérer à peu près 6 000 lits sur les 18 000. Ça veut dire qu'il y en a encore 12 000, lits où il y a des activités dans nos hôpitaux.",non,,,,,non,non,
202004211q,2020-04-21,43,"Quand je vous dis que, sur 1 041 décès, il y en a 850 que c'est des gens qui viennent des résidences, ça veut dire qu'il y a beaucoup de travail qui doit être fait là. Mais ce qui est important de préciser, c'est qu'on n'a pas retardé d'activités urgentes dans les hôpitaux. Donc, depuis un mois, la décision qu'on a prise pour se préparer à la COVID-19, c'est de libérer à peu près 6 000 lits sur les 18 000. Ça veut dire qu'il y en a encore 12 000, lits où il y a des activités dans nos hôpitaux. Puis toutes les activités qui sont urgentes vont être faites.",non,,,,,non,non,
202004211q,2020-04-21,44,"Mais ce qui est important de préciser, c'est qu'on n'a pas retardé d'activités urgentes dans les hôpitaux. Donc, depuis un mois, la décision qu'on a prise pour se préparer à la COVID-19, c'est de libérer à peu près 6 000 lits sur les 18 000. Ça veut dire qu'il y en a encore 12 000, lits où il y a des activités dans nos hôpitaux. Puis toutes les activités qui sont urgentes vont être faites. Puis, graduellement, au fur et à mesure qu'on va avoir du personnel qui va s'ajouter, des étudiants et autres, on va pouvoir libérer des médecins spécialistes qui vont pouvoir, graduellement, dans les prochaines semaines, recommencer, là, à avoir une pleine charge puis à réutiliser une partie des 6 000 lits qui sont libres dans les hôpitaux.",non,,,,,non,non,
202004211q,2020-04-21,45,"Donc, depuis un mois, la décision qu'on a prise pour se préparer à la COVID-19, c'est de libérer à peu près 6 000 lits sur les 18 000. Ça veut dire qu'il y en a encore 12 000, lits où il y a des activités dans nos hôpitaux. Puis toutes les activités qui sont urgentes vont être faites. Puis, graduellement, au fur et à mesure qu'on va avoir du personnel qui va s'ajouter, des étudiants et autres, on va pouvoir libérer des médecins spécialistes qui vont pouvoir, graduellement, dans les prochaines semaines, recommencer, là, à avoir une pleine charge puis à réutiliser une partie des 6 000 lits qui sont libres dans les hôpitaux. Bon, par contre, il y a un problème qui est spécial actuellement, c'est la pénurie mondiale de sédatifs.",non,,,,,non,non,
202004211q,2020-04-21,46,"Ça veut dire qu'il y en a encore 12 000, lits où il y a des activités dans nos hôpitaux. Puis toutes les activités qui sont urgentes vont être faites. Puis, graduellement, au fur et à mesure qu'on va avoir du personnel qui va s'ajouter, des étudiants et autres, on va pouvoir libérer des médecins spécialistes qui vont pouvoir, graduellement, dans les prochaines semaines, recommencer, là, à avoir une pleine charge puis à réutiliser une partie des 6 000 lits qui sont libres dans les hôpitaux. Bon, par contre, il y a un problème qui est spécial actuellement, c'est la pénurie mondiale de sédatifs. Propofol?",non,,,,,non,non,
202004211q,2020-04-21,47,"Puis toutes les activités qui sont urgentes vont être faites. Puis, graduellement, au fur et à mesure qu'on va avoir du personnel qui va s'ajouter, des étudiants et autres, on va pouvoir libérer des médecins spécialistes qui vont pouvoir, graduellement, dans les prochaines semaines, recommencer, là, à avoir une pleine charge puis à réutiliser une partie des 6 000 lits qui sont libres dans les hôpitaux. Bon, par contre, il y a un problème qui est spécial actuellement, c'est la pénurie mondiale de sédatifs. Propofol? Une voix :.",non,,,,,non,non,
202004211q,2020-04-21,48,"Puis, graduellement, au fur et à mesure qu'on va avoir du personnel qui va s'ajouter, des étudiants et autres, on va pouvoir libérer des médecins spécialistes qui vont pouvoir, graduellement, dans les prochaines semaines, recommencer, là, à avoir une pleine charge puis à réutiliser une partie des 6 000 lits qui sont libres dans les hôpitaux. Bon, par contre, il y a un problème qui est spécial actuellement, c'est la pénurie mondiale de sédatifs. Propofol? Une voix :. Il y a des médicaments ou des techniques alternatives, mais c'est beaucoup moins efficace.",non,,,,,non,non,
202004211q,2020-04-21,49,"Bon, par contre, il y a un problème qui est spécial actuellement, c'est la pénurie mondiale de sédatifs. Propofol? Une voix :. Il y a des médicaments ou des techniques alternatives, mais c'est beaucoup moins efficace. Donc, le nombre d'opérations, de chirurgies qui peuvent être faites, c'est plus compliqué.",non,,,,,non,non,
202004211q,2020-04-21,50,"Propofol? Une voix :. Il y a des médicaments ou des techniques alternatives, mais c'est beaucoup moins efficace. Donc, le nombre d'opérations, de chirurgies qui peuvent être faites, c'est plus compliqué. Donc, on cherche des solutions, on travaille sur des solutions, mais juste dire, là, on n'est pas différents de partout dans le monde.",non,,,,,non,non,
202004211q,2020-04-21,51,"Une voix :. Il y a des médicaments ou des techniques alternatives, mais c'est beaucoup moins efficace. Donc, le nombre d'opérations, de chirurgies qui peuvent être faites, c'est plus compliqué. Donc, on cherche des solutions, on travaille sur des solutions, mais juste dire, là, on n'est pas différents de partout dans le monde. Il y a une pénurie de médicaments comme le propofol, là, donc de sédatifs pour engourdir, endormir, appelez ça comme vous voudrez, là, les gens qui doivent se faire opérer.",non,,,,,non,non,
202004211q,2020-04-21,52,"Il y a des médicaments ou des techniques alternatives, mais c'est beaucoup moins efficace. Donc, le nombre d'opérations, de chirurgies qui peuvent être faites, c'est plus compliqué. Donc, on cherche des solutions, on travaille sur des solutions, mais juste dire, là, on n'est pas différents de partout dans le monde. Il y a une pénurie de médicaments comme le propofol, là, donc de sédatifs pour engourdir, endormir, appelez ça comme vous voudrez, là, les gens qui doivent se faire opérer. Je reviens sur la situation, là.",non,,,,,non,non,
202004211q,2020-04-21,53,"Donc, le nombre d'opérations, de chirurgies qui peuvent être faites, c'est plus compliqué. Donc, on cherche des solutions, on travaille sur des solutions, mais juste dire, là, on n'est pas différents de partout dans le monde. Il y a une pénurie de médicaments comme le propofol, là, donc de sédatifs pour engourdir, endormir, appelez ça comme vous voudrez, là, les gens qui doivent se faire opérer. Je reviens sur la situation, là. Donc, sur 2 600 résidences, on en a 80 où c'est un peu plus.",non,,,,,non,non,
202004211q,2020-04-21,54,"Donc, on cherche des solutions, on travaille sur des solutions, mais juste dire, là, on n'est pas différents de partout dans le monde. Il y a une pénurie de médicaments comme le propofol, là, donc de sédatifs pour engourdir, endormir, appelez ça comme vous voudrez, là, les gens qui doivent se faire opérer. Je reviens sur la situation, là. Donc, sur 2 600 résidences, on en a 80 où c'est un peu plus. pas un peu plus, là, où c'est difficile.",non,,,,,non,non,
202004211q,2020-04-21,55,"Il y a une pénurie de médicaments comme le propofol, là, donc de sédatifs pour engourdir, endormir, appelez ça comme vous voudrez, là, les gens qui doivent se faire opérer. Je reviens sur la situation, là. Donc, sur 2 600 résidences, on en a 80 où c'est un peu plus. pas un peu plus, là, où c'est difficile. Mais ce qu'il est important de dire, c'est que, dans le reste du Québec, là, à Montréal et dans les régions, la situation est pas mal stable depuis un certain nombre de jours.",non,,,,,non,non,
202004211q,2020-04-21,56,"Je reviens sur la situation, là. Donc, sur 2 600 résidences, on en a 80 où c'est un peu plus. pas un peu plus, là, où c'est difficile. Mais ce qu'il est important de dire, c'est que, dans le reste du Québec, là, à Montréal et dans les régions, la situation est pas mal stable depuis un certain nombre de jours. Donc, on est en train de regarder, là, on a encore une rencontre ce soir, comment on va réouvrir graduellement l'économie, les écoles, les services de garde.",non,,,,,non,non,
202004211q,2020-04-21,57,"Donc, sur 2 600 résidences, on en a 80 où c'est un peu plus. pas un peu plus, là, où c'est difficile. Mais ce qu'il est important de dire, c'est que, dans le reste du Québec, là, à Montréal et dans les régions, la situation est pas mal stable depuis un certain nombre de jours. Donc, on est en train de regarder, là, on a encore une rencontre ce soir, comment on va réouvrir graduellement l'économie, les écoles, les services de garde. Mais le mot important, là, c'est le mot «graduel».",non,,,,,non,non,
202004211q,2020-04-21,58,"pas un peu plus, là, où c'est difficile. Mais ce qu'il est important de dire, c'est que, dans le reste du Québec, là, à Montréal et dans les régions, la situation est pas mal stable depuis un certain nombre de jours. Donc, on est en train de regarder, là, on a encore une rencontre ce soir, comment on va réouvrir graduellement l'économie, les écoles, les services de garde. Mais le mot important, là, c'est le mot «graduel». Donc, on veut être bien sûrs de continuer à avoir une stabilité pendant un certain nombre de jours, même de semaines, puis on veut y aller graduellement.",non,,,,,non,non,
202004211q,2020-04-21,59,"Mais ce qu'il est important de dire, c'est que, dans le reste du Québec, là, à Montréal et dans les régions, la situation est pas mal stable depuis un certain nombre de jours. Donc, on est en train de regarder, là, on a encore une rencontre ce soir, comment on va réouvrir graduellement l'économie, les écoles, les services de garde. Mais le mot important, là, c'est le mot «graduel». Donc, on veut être bien sûrs de continuer à avoir une stabilité pendant un certain nombre de jours, même de semaines, puis on veut y aller graduellement. Et je veux vous dire un mot sur les écoles et les garderies puis je vous parle seulement du côté santé.",non,,,,,non,non,
